,Date,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
20,2018-05-07,Lance McCullers Jr.,HOU,41.0,168,10.8,3.3,3.3,0.7,29.2%,8.9%,20.2%,.227,1.20,.316,71.1%,3.04,3.09
21,2018-05-07,Andrew Heaney,LAA,20.1,87,10.6,2.2,4.8,1.3,27.6%,5.8%,21.8%,.281,1.38,.364,58.8%,3.46,3.08
22,2018-05-07,Marco Gonzales,SEA,34.2,149,9.9,1.6,6.3,1.0,25.5%,4.0%,21.5%,.310,1.44,.400,68.3%,3.07,2.77
23,2018-05-07,Trevor Cahill,OAK,24.0,92,11.6,2.3,5.2,0.8,33.7%,6.5%,27.2%,.198,0.96,.283,79.2%,2.41,2.29
24,2018-05-07,Gerrit Cole,HOU,50.2,184,13.7,1.6,8.6,0.5,41.9%,4.9%,37.0%,.150,0.69,.247,85.4%,1.54,2.11
0,2018-05-08,Martin Perez,TEX,22.1,119,5.2,4.8,1.1,2.8,10.9%,10.1%,0.8%,.391,2.37,.400,66.4%,7.95,6.17
1,2018-05-08,Matt Moore,TEX,34.0,168,6.1,4.0,1.5,1.3,13.7%,8.9%,4.8%,.340,1.94,.377,59.7%,5.31,6.07
2,2018-05-08,Mike Leake,SEA,38.2,174,6.1,3.5,1.7,1.4,14.9%,8.6%,6.3%,.297,1.60,.325,65.9%,5.07,5.07
3,2018-05-08,Mike Minor,TEX,33.0,140,7.6,2.5,3.1,0.8,20.0%,6.4%,13.6%,.252,1.24,.302,71.1%,3.83,4.80
4,2018-05-08,Felix Hernandez,SEA,44.1,191,7.7,4.1,1.9,1.8,19.9%,10.5%,9.4%,.238,1.35,.256,73.4%,5.64,4.79
5,2018-05-08,Nick Tropeano,LAA,23.2,93,7.6,3.4,2.2,1.1,21.5%,9.7%,11.8%,.217,1.14,.250,79.8%,4.39,4.55
6,2018-05-08,Kendall Graveman,OAK,28.1,134,7.3,3.5,2.1,2.2,17.2%,8.2%,9.0%,.336,1.84,.370,57.9%,6.02,4.38
7,2018-05-08,Doug Fister,TEX,31.1,143,7.2,3.4,2.1,1.1,17.5%,8.4%,9.1%,.283,1.53,.327,71.1%,4.76,4.20
8,2018-05-08,Cole Hamels,TEX,45.2,204,10.2,3.5,2.9,1.8,25.5%,8.8%,16.7%,.243,1.36,.292,79.0%,4.96,4.02
9,2018-05-08,Bartolo Colon,TEX,33.1,127,5.1,0.8,6.3,2.2,15.0%,2.4%,12.6%,.211,0.87,.188,90.4%,5.50,4.02
10,2018-05-08,Andrew Triggs,OAK,34.2,148,9.3,3.1,3.0,1.0,24.3%,8.1%,16.2%,.226,1.21,.280,71.1%,3.88,3.95
11,2018-05-08,Dallas Keuchel,HOU,51.0,211,6.5,2.5,2.6,1.4,17.5%,6.6%,10.9%,.234,1.18,.250,79.9%,4.57,3.86
12,2018-05-08,Daniel Mengden,OAK,37.2,161,6.9,1.2,5.8,0.7,18.0%,3.1%,14.9%,.256,1.19,.298,56.4%,3.05,3.82
13,2018-05-08,Shohei Ohtani,LAA,26.1,107,10.9,3.8,2.9,1.4,29.9%,10.3%,19.6%,.210,1.18,.271,75.8%,4.07,3.73
14,2018-05-08,Sean Manaea,OAK,49.2,183,7.6,1.3,6.0,0.9,22.9%,3.8%,19.1%,.150,0.66,.167,89.7%,3.38,3.67
15,2018-05-08,Tyler Skaggs,LAA,38.0,160,9.2,2.6,3.5,0.5,24.4%,6.9%,17.5%,.230,1.18,.299,76.4%,2.74,3.49
16,2018-05-08,Justin Verlander,HOU,53.2,200,11.7,1.8,6.4,0.7,35.0%,5.5%,29.5%,.145,0.71,.205,90.4%,2.30,3.46
17,2018-05-08,Garrett Richards,LAA,34.1,150,11.8,5.2,2.3,1.0,30.0%,13.3%,16.7%,.209,1.37,.287,68.4%,3.89,3.43
18,2018-05-08,Charlie Morton,HOU,41.2,167,10.4,3.7,2.8,1.1,28.7%,10.2%,18.6%,.177,1.03,.223,89.7%,3.86,3.29
19,2018-05-08,James Paxton,SEA,38.2,168,14.0,3.7,3.8,1.2,35.7%,9.5%,26.2%,.232,1.32,.349,75.6%,3.06,3.17
20,2018-05-08,Lance McCullers Jr.,HOU,41.0,168,10.8,3.3,3.3,0.7,29.2%,8.9%,20.2%,.227,1.20,.316,71.1%,3.04,3.09
21,2018-05-08,Andrew Heaney,LAA,20.1,87,10.6,2.2,4.8,1.3,27.6%,5.8%,21.8%,.281,1.38,.364,58.8%,3.46,3.08
22,2018-05-08,Marco Gonzales,SEA,34.2,149,9.9,1.6,6.3,1.0,25.5%,4.0%,21.5%,.310,1.44,.400,68.3%,3.07,2.77
23,2018-05-08,Trevor Cahill,OAK,24.0,92,11.6,2.3,5.2,0.8,33.7%,6.5%,27.2%,.198,0.96,.283,79.2%,2.41,2.29
24,2018-05-08,Gerrit Cole,HOU,50.2,184,13.7,1.6,8.6,0.5,41.9%,4.9%,37.0%,.150,0.69,.247,85.4%,1.54,2.11
